"","Town","Stream","Road Crossing","Score","Grade","Location"
"1","Canton","Ponkapoag Brook","Golf Cart Path",0.372736489580211,"Significant Barrier",c(-71.1144922931352, 42.1901819868315)
"2","Norwood","Germany Brook","Sycamore Dr",0.42725426661036,"Moderate Barrier",c(-71.2246273869836, 42.1963700618593)
"3","Canton","Ponkapoag Brook","Hubbard St",0.450299795647495,"Moderate Barrier",c(-71.12082559622, 42.190451884116)
"4","Canton","Ponkapoag Brook","138/Turnpike St",0.478163524659883,"Moderate Barrier",c(-71.1173756886936, 42.1904750503901)
"5","Walpole","Traphole Brook","Route 1",0.485623230857,"Moderate Barrier",c(-71.2090890637048, 42.1517658308111)
"6","Canton","Ponkapoag Brook","Washington St",0.49957861333854,"Moderate Barrier",c(-71.1183773261226, 42.1908392804033)
"7","Walpole","Traphole Brook","Union St",0.514526784345,"Moderate Barrier",c(-71.2058398423413, 42.1602138201207)
"8","Norwood","Germany Brook","Sycamore Dr",0.561405044493752,"Moderate Barrier",c(-71.2246273869836, 42.1963700618593)
"9","Walpole","Traphole Brook","Route 1",0.576376758309,"Moderate Barrier",c(-71.2090890637048, 42.1517658308111)
"10","Canton","Ponkapoag Brook","Golf Cart Path",0.578248230902146,"Moderate Barrier",c(-71.11513834, 42.19011198)
"11","Walpole","Traphole Brook","Union St",0.600025881923,"Minor Barrier",c(-71.2058398423413, 42.1602138201207)
"12","Walpole","Traphole Brook","Union St",0.601796021515,"Minor Barrier",c(-71.2058398423413, 42.1602138201207)
"13","Sharon","Traphole Brook","High Plain St",0.628295831279,"Minor Barrier",c(-71.20020953, 42.14427268)
"14","Milton","Pine Tree Brook","Eliot St",0.635429839395114,"Minor Barrier",c(-71.0728784377662, 42.2695506910602)
"15","Milton","Pine Tree Brook","Railroad",0.6375,"Minor Barrier",c(-71.0728919019713, 42.2700935659053)
"16","Sharon","Beaver Brook","Canton St",0.661549256385829,"Minor Barrier",c(-71.1708849662951, 42.13605594)
"17","Milton","Pine Tree Brook","Unquity Rd",0.6799,"Minor Barrier",c(-71.090086, 42.23586413)
"18","Milton","Pine Tree Brook","Old Harland St",0.685317324264879,"Minor Barrier",c(-71.094199, 42.24001117)
"21","Milton","Pine Tree Brook","Blue Hills Pkwy",0.707463455679385,"Minor Barrier",c(-71.0934903936479, 42.2526368109543)
"22","Milton","Pine Tree Brook","Blue Hills Pkwy",0.709069881805376,"Minor Barrier",c(-71.0934903936479, 42.2526368109543)
"23","Canton","Ponkapoag Brook","Elm St",0.715928079980909,"Minor Barrier",c(-71.1349598260327, 42.2032735505064)
"24","Sharon","Beaver Brook","Canton St",0.729675318641303,"Minor Barrier",c(-71.1708849662951, 42.13605594)
"25","Westwood","Germany Brook","Winter St",0.742130564486334,"Minor Barrier",c(-71.21889450434, 42.2008865418985)
"26","Norwood","Traphole Brook","Route 1",0.756392702032,"Minor Barrier",c(-71.2006453935343, 42.1595220894705)
"27","Walpole","Traphole Brook","Park Ln",0.761251754946,"Minor Barrier",c(-71.2091249388955, 42.1532189226778)
"28","Norwood","Germany Brook","Westover Pkwy",0.78184646439648,"Minor Barrier",c(-71.2238668515474, 42.1946539248453)
"29","Milton","Pine Tree Brook","Eliot St",0.783488909046853,"Minor Barrier",c(-71.0728784377662, 42.2695506910602)
"30","Milton","Pine Tree Brook","Brook Rd",0.788499957057159,"Minor Barrier",c(-71.0839898978091, 42.2591053351829)
